query,qid,docid,rel
Movies with epic space battles.,1,243642,2
Movies with epic space battles.,1,260,5
Movies with epic space battles.,1,118696,3
Movies with epic space battles.,1,3053,1
Movies with epic space battles.,1,96193,1
Movies with epic space battles.,1,7458,1
Movies with epic space battles.,1,268934,1
Movies with epic space battles.,1,213283,1
Movies with epic space battles.,1,210825,4
Movies with epic space battles.,1,171889,1
Movies with epic space battles.,1,5952,2
Movies with epic space battles.,1,281572,1
Movies with epic space battles.,1,103721,1
Movies with epic space battles.,1,94417,1
Movies with epic space battles.,1,109487,4
Movies with epic space battles.,1,2628,5
Movies with epic space battles.,1,33004,2
Movies with epic space battles.,1,55875,2
Movies with epic space battles.,1,60007,3
Movies with epic space battles.,1,65796,3
Movies with epic space battles.,1,145470,2
Movies with epic space battles.,1,1196,5
Movies with epic space battles.,1,7143,1
Movies with epic space battles.,1,172819,3
Movies with epic space battles.,1,193267,1
Movies with epic space battles.,1,189443,3
Movies with epic space battles.,1,210205,2
Movies with epic space battles.,1,3827,3
Movies with epic space battles.,1,61160,3
Movies with epic space battles.,1,198265,5
Movies with epic space battles.,1,214784,1
Movies with epic space battles.,1,59141,1
Movies with epic space battles.,1,122914,3
Movies with epic space battles.,1,216408,1
Movies with epic space battles.,1,152003,1
Movies with epic space battles.,1,1676,4
Movies with epic space battles.,1,88959,1
Movies with epic space battles.,1,209803,3
Movies with epic space battles.,1,273277,1
Movies with epic space battles.,1,67744,1
Movies with epic space battles.,1,5724,1
Movies with epic space battles.,1,1210,1
Movies with epic space battles.,1,95182,5
Movies with epic space battles.,1,80615,1
Movies with epic space battles.,1,61026,2
Movies with epic space battles.,1,2067,1
Movies with epic space battles.,1,33410,1
Movies with epic space battles.,1,149412,3
Movies with epic space battles.,1,192553,1
Movies with epic space battles.,1,77795,1
Movies with epic space battles.,1,189449,4
Movies with epic space battles.,1,8371,5
Movies with epic space battles.,1,1231,4
Movies with epic space battles.,1,204352,4
Movies with epic space battles.,1,33493,5
Movies with epic space battles.,1,102445,4
Movies with epic space battles.,1,1374,4
Movies with epic space battles.,1,122886,5
Movies with epic space battles.,1,3638,3
Romantic comedies with mistaken identity.,2,339,5
Romantic comedies with mistaken identity.,2,4823,4
